Estrutura,Documentos,NumeroPalavrasTotais,NumeroPalavrasDistintas,TempoTotalInsercao,TempoMedioInsercao,TempoMaxBusca,TempoMedioBusca,Altura,MenorGalho,MaiorGalho,ComparacoesInsercao,ComparacoesBusca,NumeroRotacao
avl,96,286993,24518,162.738294,0.000567,0.253158,0.000382,17,11,17,3374599,3383206,18363
rbt,96,286993,24518,127.311680,0.000444,0.161190,0.000380,17,10,17,3366291,3376942,15283
bst,97,288016,24556,181.250357,0.000629,0.086248,0.000331,34,7,34,3709136,3733692,0
avl,97,288016,24556,163.575147,0.000568,0.253158,0.000382,17,11,17,3386865,3395490,18387
rbt,97,288016,24556,128.116839,0.000445,0.161190,0.000380,17,10,17,3378732,3389401,15303
bst,98,288327,24570,181.469614,0.000629,0.086248,0.000331,34,7,34,3713260,3737830,0
avl,98,288327,24570,163.808608,0.000568,0.253158,0.000382,17,11,17,3390685,3399312,18402
rbt,98,288327,24570,128.282910,0.000445,0.161190,0.000380,17,10,17,3382493,3393164,15316
bst,99,288565,24577,181.626589,0.000629,0.086248,0.000331,34,7,34,3716291,3740868,0
avl,99,288565,24577,163.951192,0.000568,0.253158,0.000382,17,11,17,3393436,3402067,18405
rbt,99,288565,24577,128.398591,0.000445,0.161190,0.000380,17,10,17,3385281,3395955,15320
bst,100,293496,24787,187.083004,0.000637,0.086248,0.000331,34,7,34,3781487,3806274,0
avl,100,293496,24787,168.377035,0.000574,0.253158,0.000383,17,11,17,3453400,3462112,18557
rbt,100,293496,24787,131.978144,0.000450,0.161190,0.000380,17,10,17,3444139,3454917,15434
